StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612P00124000,124.0,2015-06-12,Put,0.01,0.00,0.01,875,13830,12:37
AAPL,AAPL150612P00125000,125.0,2015-06-12,Put,0.01,0.00,0.01,2028,31370,12:37
AAPL,AAPL150612P00126000,126.0,2015-06-12,Put,0.01,0.01,0.02,10609,17022,12:37
AAPL,AAPL150612P00127000,127.0,2015-06-12,Put,0.04,0.03,0.04,35849,19303,12:37
AAPL,AAPL150612P00128000,128.0,2015-06-12,Put,0.38,0.36,0.38,41958,23787,12:37
AAPL,AAPL150612P00129000,129.0,2015-06-12,Put,1.26,1.23,1.25,22990,16542,12:37
AAPL,AAPL150612P00130000,130.0,2015-06-12,Put,2.22,2.21,2.24,12687,10732,12:37
AAPL,AAPL150612P00131000,131.0,2015-06-12,Put,3.25,3.20,3.30,872,5375,12:37
AAPL,AAPL150612P00132000,132.0,2015-06-12,Put,4.31,4.25,4.35,774,3547,12:37
AAPL,AAPL150612P00133000,133.0,2015-06-12,Put,5.40,5.25,5.35,212,1553,12:37
AAPL,AAPL150612P00134000,134.0,2015-06-12,Put,6.31,6.25,6.35,134,1009,12:37
AAPL,AAPL150612P00135000,135.0,2015-06-12,Put,7.44,7.25,7.35,67,1369,12:37
AAPL,AAPL150612P00136000,136.0,2015-06-12,Put,8.35,8.25,8.35,92,634,12:37
AAPL,AAPL150612P00137000,137.0,2015-06-12,Put,9.10,9.25,9.35,1,586,12:37
AAPL,AAPL150612P00138000,138.0,2015-06-12,Put,9.00,10.25,10.35,17,420,12:37
AAPL,AAPL150612P00139000,139.0,2015-06-12,Put,11.45,10.85,11.40,19,220,12:37
AAPL,AAPL150612P00140000,140.0,2015-06-12,Put,12.11,11.85,12.45,3,204,12:37
AAPL,AAPL150612P00141000,141.0,2015-06-12,Put,14.20,12.85,13.40,20,58,12:37
AAPL,AAPL150612P00142000,142.0,2015-06-12,Put,15.20,13.85,14.40,5,5,12:37
AAPL,AAPL150612P00143000,143.0,2015-06-12,Put,13.85,14.85,15.40,3,13,12:37
AAPL,AAPL150612P00144000,144.0,2015-06-12,Put,16.45,15.60,16.40,8,0,12:37
AAPL,AAPL150612P00145000,145.0,2015-06-12,Put,16.00,16.40,17.40,6,0,12:37
AAPL,AAPL150612P00155000,155.0,2015-06-12,Put,24.45,26.40,28.45,25,0,12:37
StockSymbol,Options Symbol,Strike,Expiration Date,OptionType,Price,Bid,Ask,Volume,Open Interest,Time
AAPL,AAPL150612C00085000,85.0,2015-06-12,Call,41.11,41.15,42.75,10,10,12:38
AAPL,AAPL150612C00100000,100.0,2015-06-12,Call,27.50,27.30,27.80,58,455,12:38
AAPL,AAPL150612C00105000,105.0,2015-06-12,Call,22.70,21.60,22.75,1,21,12:38
AAPL,AAPL150612C00110000,110.0,2015-06-12,Call,18.00,17.50,17.70,33,54,12:38
AAPL,AAPL150612C00112000,112.0,2015-06-12,Call,15.98,15.20,15.80,10,10,12:38
AAPL,AAPL150612C00113000,113.0,2015-06-12,Call,14.61,14.50,14.70,15,72,12:38
AAPL,AAPL150612C00114000,114.0,2015-06-12,Call,14.00,13.35,13.75,1,29,12:38
AAPL,AAPL150612C00115000,115.0,2015-06-12,Call,12.52,12.50,12.75,8,509,12:38
AAPL,AAPL150612C00116000,116.0,2015-06-12,Call,12.70,11.35,11.70,70,193,12:38
AAPL,AAPL150612C00117000,117.0,2015-06-12,Call,11.89,10.65,10.75,13,279,12:38
